Contact Name,Company Name,Display Name As,Contact Type,Currency Code,Payment Terms,Payment Terms Label,Primary Contact First Name,Primary Contact Last Name,Primary Contact Email,Primary Contact Mobile,Primary Contact Phone,Billing Address Street,Billing Address City,Billing Address State,Billing Address Country,Billing Address Zip Code,Outstanding Payable Amount,Notes
Padma Oil Company Ltd,Padma Oil Company Ltd,Padma Oil Company Ltd,Vendor,BDT,7,Net 7,Habib,Khan,supply@padmaoil.com,01711-111001,02-9111001,Padma Oil Depot Tejgaon,Dhaka,Dhaka,Bangladesh,1208,320000,Main fuel supplier - diesel and octane
Meghna Petroleum Ltd,Meghna Petroleum Ltd,Meghna Petroleum Ltd,Vendor,BDT,7,Net 7,Salam,Mia,accounts@meghnapetroleum.com,01811-222002,02-8222002,Meghna Depot Chittagong Port,Chittagong,Chittagong,Bangladesh,4100,180000,Secondary fuel supplier - all grades
Bangladesh Oil Gas Corp,Bangladesh Oil Gas Corp,Bangladesh Oil Gas Corp,Vendor,BDT,15,Net 15,Nasir,Hossain,procurement@bogc.gov.bd,01911-333003,02-7333003,BOGC Headquarters Motijheel,Dhaka,Dhaka,Bangladesh,1000,95000,Government CNG gas supplier
Bashundhara LPG Ltd,Bashundhara LPG Ltd,Bashundhara LPG Ltd,Vendor,BDT,7,Net 7,Farhan,Ahmed,supply@bashlpg.com,01611-444004,02-6444004,Bashundhara Industrial Area,Dhaka,Dhaka,Bangladesh,1229,210000,LPG gas cylinder supplier - main source
Total Energies BD,Total Energies BD,Total Energies BD,Vendor,BDT,14,Net 14,Jean,Dupont,bd@totalenergies.com,01511-555005,02-5555005,Gulshan 2 Circle,Dhaka,Dhaka,Bangladesh,1212,75000,International fuel and lubricant supplier
Nourish Feed Industries,Nourish Feed Industries,Nourish Feed Industries,Vendor,BDT,15,Net 15,Kamal,Hossain,kamal@nourishfeed.com,01411-666006,02-4666006,Tongi Industrial Area,Gazipur,Dhaka,Bangladesh,1711,145000,Fish feed raw materials supplier
Bangladesh Fish Feed Ltd,Bangladesh Fish Feed Ltd,Bangladesh Fish Feed Ltd,Vendor,BDT,30,Net 30,Rasel,Islam,supply@bdfishedfeed.com,01311-777007,02-3777007,Savar EPZ Area,Dhaka,Dhaka,Bangladesh,1340,88000,Finished feed and raw material vendor
Square Pharmaceuticals,Square Pharmaceuticals,Square Pharmaceuticals,Vendor,BDT,30,Net 30,Tanvir,Hossain,trade@squarepharma.com,01711-888008,02-9888008,Square House Tejgaon,Dhaka,Dhaka,Bangladesh,1208,62000,Medicine supplier - branded products
Beximco Pharmaceuticals,Beximco Pharmaceuticals,Beximco Pharmaceuticals,Vendor,BDT,30,Net 30,Iqbal,Ahmed,trade@beximcopharma.com,01811-999009,02-8999009,Beximco Industrial Park,Dhaka,Dhaka,Bangladesh,1340,38000,Medicine and healthcare product supplier
Renata Limited,Renata Limited,Renata Limited,Vendor,BDT,30,Net 30,Sadia,Rahman,trade@renata.com,01911-100010,02-7100010,Mirpur Road,Dhaka,Dhaka,Bangladesh,1216,25000,Pharmaceutical manufacturer - generic drugs
Dhaka Electric Supply Co,Dhaka Electric Supply Co,Dhaka Electric Supply Co,Vendor,BDT,0,Due on Receipt,,,bill@desco.gov.bd,,02-9200001,DESCO Headquarters,Dhaka,Dhaka,Bangladesh,1000,0,Electricity utility provider Dhaka region
Titas Gas Transmission,Titas Gas Transmission,Titas Gas Transmission,Vendor,BDT,0,Due on Receipt,,,billing@titasgas.com.bd,,02-9300001,Titas Gas Bhaban Kawran Bazar,Dhaka,Dhaka,Bangladesh,1215,0,Natural gas utility provider
Robi Axiata Ltd,Robi Axiata Ltd,Robi Axiata Ltd,Vendor,BDT,0,Due on Receipt,,,corporate@robi.com.bd,01811-000011,02-8100011,Robi Corporate Office Dhaka,Dhaka,Dhaka,Bangladesh,1212,0,Internet and mobile connectivity provider
Al-Amin Hardware,Al-Amin Hardware,Al-Amin Hardware,Vendor,BDT,0,Due on Receipt,Al-Amin,Sarker,,01611-200012,,Narayanganj Industrial Area,Narayanganj,Dhaka,Bangladesh,1400,0,Spare parts and hardware for maintenance
General Maintenance Services,General Maintenance Services,General Maintenance Services,Vendor,BDT,0,Due on Receipt,Rubel,Mia,,01511-300013,,Local workshop area,Dhaka,Dhaka,Bangladesh,1200,0,Equipment repair and maintenance services
